plId;pl_usId;plShare;plTitle;plDate;plWhere;lat;lng;plComment;seen
228;11111111;1;Yamamay;07/05/2017;;41.90358;12.479413;df;0
229;11111111;1;Tezenis;07/05/2017;;41.904043;12.479208;pf;0
230;11111111;1;Parc château Saint-Ange;07/05/2017;;41.904758;12.466228;;0
231;11111111;1;Aéroport Rome (Fiumicino). Magasin;07/05/2017;;41.797855;12.256777;;0
233;11111111;1;Lavoir;22/06/2017;;43.579585;7.127203;;0
234;11111111;1;Lavoir muret;22/06/2017;;43.579554;7.127293;;0
235;11111111;1;Escalier;22/06/2017;;43.579181;7.127026;;0
236;11111111;1;devant resto;22/06/2017;;43.579752;7.128066;;0
237;11111111;1;Escalier;22/06/2017;;43.580405;7.128181;;0
238;11111111;1;Banc public;22/06/2017;;43.58393;7.126159;;0
239;11111111;1;Entrée Philippe Rochat;22/06/2017;;43.590111;7.109051;ejac;0
240;11111111;1;Bois des lutins;24/06/2017;;43.657277;7.095020;;0
241;11111111;1;Bois des lutins;24/06/2017;;43.657014;7.094633;;0
242;11111111;1;Bois des lutins;24/06/2017;;43.657221;7.094445;;0
243;11111111;1;Bois des lutins;24/06/2017;;43.657374;7.094850;;0
244;11111111;1;Bois des lutins;24/06/2017;;43.657477;7.094519;;0
245;11111111;1;Bois des lutins;24/06/2017;;43.657433;7.094388;;0
246;11111111;1;Decatlhon Mandelieu. Cabine;01/07/2017;;43.551375;6.948088;;0
247;11111111;1;Decatlhon Mandelieu. Tente expo;01/07/2017;;43.552118;6.947539;;1
248;11111111;1;Lac de St Cassien;01/07/2017;;43.583974;6.798840;Fell;0
249;11111111;1;Lac de St Cassien. Table/banc;01/07/2017;;43.584374;6.798823;Pené Fell Doigt.;0
250;11111111;1;Chambre d'hôte. Chambre;02/07/2017;;43.608910;6.789557;;1
251;11111111;1;Chambre d'hôte. Piscine;02/07/2017;;43.609025;6.789749;;0
252;11111111;1;Port de Nice. Accès au phare;07/07/2017;;43.692208;7.286007;;0
253;11111111;1;Port de Nice. Accès au phare;07/07/2017;;43.692556;7.285278;;1
254;11111111;1;Devred;19/07/2017;;49.024831;1.148780;;0
255;11111111;1;Jules;19/07/2017;;49.024757;1.148782;;0
256;11111111;1;Pimkie;19/07/2017;;49.023698;1.148913;;0
257;11111111;1;Jenifer;19/07/2017;;49.023151;1.149682;;0
258;11111111;1;H&M;19/07/2017;;49.026802;1.147999;;0
259;11111111;0;Résidence corbeau. Ascenseur;19/07/2017;;49.025283;1.152260;;0
260;11111111;1;Décathlon;19/07/2017;;49.000492;1.157088;;0
261;11111111;1;Printemps;20/07/2017;;49.441239;1.093494;;0
262;11111111;1;Avion. Paris-Nice;21/07/2017;;46.300087;4.836835;;0
263;11111111;1;Chambre;22/07/2017;;45.327349;6.538399;;0
264;11111111;1;Belambra. Ascenseur;24/07/2017;;45.327302;6.538301;;0
265;11111111;1;Ascenseur exterieur;24/07/2017;;45.325790;6.539792;;0
266;11111111;1;Escalier les Brelins;24/07/2017;;45.326286;6.540633;;0
267;11111111;1;Les Doron. Escaliers;24/07/2017;;45.322100;6.539186;;0
268;11111111;1;Cinéma les Bruyères;25/07/2017;;45.314429;6.539907;;0
269;11111111;1;Cabine La Masse 1.;26/07/2017;;45.315712;6.528042;;1
270;11111111;1;Chemin. Descente;26/07/2017;;45.315715;6.530168;;0
271;11111111;1;Belambra. Ascenseur;27/07/2017;;45.327302;6.538301;;0
272;11111111;1;Sauna. 80°;27/07/2017;;45.322805;6.537217;Full, fell, doigt, ejac;0
273;11111111;1;Decathlon Albertville;29/07/2017;;45.656176;6.369124;Fell, Doigt, Pen;0
274;11111111;1;Tunnel Fréjus. En roulant.;29/07/2017;;45.138158;6.688692;Pendant 10Km;0
275;11111111;1;En roulant;29/07/2017;;44.100865;8.225095;10Km avant point;0
276;11111111;1;Frontière France;29/07/2017;;43.788951;7.529540;;0
277;11111111;1;Bouchons. En roulant.;29/07/2017;;43.791322;7.514101;;0
278;11111111;0;@ PO Home.;01/08/2017;;43.714219;7.262950;3 filles : voisines;1
